Op5cqj8VPu-ltt-bURrMJg_201,0eqgzyx9sfsDeOMUrRr_bA_201,right,137.122.64.25
ajLVuDdjKC4V2pwBgQhMGQ_201,6IQAX0En0qUXJ93RotI0cA_201,right,137.122.64.25
gIrxpth_HMH3DdJTM2cKtA_201,7xLLe5GTsaTpvuZPuVqb3A_201,left,137.122.64.25
79tyIu9aC3ssb0z8y-ddcg_201,IqqDlbQc6nte3rwlSk-fsQ_201,left,137.122.64.25
g2FDfsINdZlw-GLDgMIG4Q_201,l2UuRtkauNYcQ9ljyyZB5g_201,left,137.122.64.25
79tyIu9aC3ssb0z8y-ddcg_201,IqqDlbQc6nte3rwlSk-fsQ_201,left,137.122.64.25
IMZhIIjrkq-po3oXtClG7Q_201,a7EaMHmfQxhlSkeTHXOwGg_201,right,137.122.64.25
a1Hksf-I_imbaYxlz7sJNQ_201,a1oobf1rf3b4yZh3bBKX-g_201,right,137.122.64.25
07SerbbCzjLj3FKDGQkbWw_201,ARRfnFUK8lewRvumldDNNg_201,No preference,137.122.64.25
rmEHk7MWtC_98juTBGZkEg_201,IRdk54Nx1OaDn8mQL4kAoQ_201,left,137.122.64.25
V7Trqd7TNrd8oBQOrH_4rg_201,yn2VReFHHqx1m_v29ktCNQ_201,left,137.122.64.25
up0uALByz40tj77o1o7tDg_201,I51XUxUlJWQS_tBHGwiQVA_201,left,137.122.64.25
LK57RhOpdmNxz4Rx3E-FsQ_201,XFD7jfoIyfH8-vIaIL2KXQ_201,left,137.122.64.25
ZeoYQAUIG3FxLI_jetyYUQ_201,UJA3cypIVmKdlnPW-_sjkA_201,left,137.122.64.25
arDpVLMHqtOUfM81R1HCrQ_201,L0mWlCXdB0ynIX84zV3ymg_201,right,137.122.64.25
ziD-Mphpaer5L1jOJGTlJA_201,ylq-c8kqTdOBCa5P2VvoNg_201,left,137.122.64.25
-pxoFEytHbZemH2FqE-YfA_201,GTENtw0nJM6-CsB2p2LtIQ_201,right,137.122.64.25
KMenUfcjA5bcOYKoFW6hbw_201,9ZpZoAj47NoBlbhfGe6oeQ_201,No preference,137.122.64.25
SfARv3Dh9kn29I7UrLYUJQ_201,-mH6YEtJYcxOD27R70EFQw_201,right,137.122.64.25
9qAwMYucvUX6etIsOGZZGA_201,qegXvjihBU_9uqflp1cI1A_201,right,137.122.64.25
YJFCRft5zYyIMcJu-ymABw_201,vF5ajKC5Ks6JtkiTi31apA_201,right,137.122.64.25
VoyOBXpLfaVzXE7p3v_rGQ_201,zEJqs78NE4fwUYJtsb18Gg_201,right,137.122.64.25
Bajw37KYVubKEpzobr4lHw_201,gyxa0L5p904wwDvqmnFfoQ_201,No preference,137.122.64.25
FjEo_wwi2Z73ktPEqIVhHw_201,DuIrz1SsNhJHpPoOm386dA_201,left,137.122.64.25
SiM8kPxMeLJU2D4elABjGw_201,aJsFtd9QADncmbP6hnsKeg_201,No preference,137.122.64.25
2lBbbdmMdCSnLcTcgSKHZQ_201,LhyWMOqp0KHX6Wway4SHwQ_201,left,137.122.64.25
i-cWXyt84PuV_o_M7nW7BA_201,npHctZS2vVulWgO96n4Wyg_201,right,137.122.64.25
Jw6IZkpjBkR_EBmEVAtrwA_201,_uIaALnLibvinFWt40PWHw_201,right,137.122.64.25
g-NMyyQBA-7wqrDeg8btOw_201,DHMAgHTDuOOYdYEhVsImsw_201,right,137.122.64.25
1owswZIXibK7Zlp_HeOVgA_201,jRs5l0R88YoCLR9GUm210w_201,No preference,137.122.64.25
nLsfAEV3ZZsZmJUtVLWm1w_201,4DkYW-j2yfYcVk8rIgk6Ww_201,left,137.122.64.25
GviY2HUTyovSXut_ZLlb0w_201,0h3sfIoG4t1C0P1J6kO_Dw_201,right,137.122.64.25
jmOte1SLpZ5I81pqBQLq8w_201,0FAHB6uCDzuxNqst_DFPIw_201,right,137.122.64.25
Mfg9P6-xfF7f3Yv5tL3y5g_201,ZT3xjIMndgA1TWytLaitjg_201,left,137.122.64.25
Uj4JHc-lI3J5F3myy-xz0g_201,mybjA-2P399HJdGkHZytJg_201,right,137.122.64.25
nbZUIkOsQycFd1mCdNyMvg_201,Y7BoSPCHxW9Fcar1wOS3ow_201,left,137.122.64.25
NWIbY32YRflyI5ZaXjFM_A_201,fXnjbfSoAQMs61CfvFdMNA_201,No preference,137.122.64.25
MzB6aKaNXiMfZXnGSQrhQQ_201,B04IQyUhC3fboPDHJMs5nA_201,left,137.122.64.25
vaE7Ikb8hxqroVnJyFLm8w_201,SOpbjWBFjlWvqvgEM4W6Bw_201,right,137.122.64.25
7rcskJRmHEe6W0kbQiIDYA_201,m7ANPH-oc0-_Hg-L91KM-g_201,left,137.122.64.25
wcDsgqT5wx46I12LrEeTGw_201,7ckM3GnaZNFkJJK0V11_1A_201,No preference,137.122.64.25
6o9IRNnLY4zxl5Gvpv2kwg_201,D7SNE50j803ZZtfH0Dpi9w_201,left,137.122.64.25
eMluZPXHL-d-pJi7oSdIHw_201,KJMQ93ytwTByh1gknM_a6Q_201,left,137.122.64.25
YByrzICNQAl7CakzmZonOw_201,wxR94lcvJX3uNY4dwOKqDw_201,left,137.122.64.25
gtTqmYtjbjTeEkURoE_u6w_201,KEgGiB052wWoe04oV6VeTQ_201,No preference,137.122.64.25
